word,count
contributed,  0.008 
parties,  0.031 
department,  0.027 
square,  0.008 
fishing,  0.014 
surrounding,  0.006 
green,  0.038 
rescue,  0.012 
birds,  0.011 
plant,  0.013 
native,  0.018 
plants,  0.006 
waikato,  0.044 
orders,  0.011 
managed,  0.027 
treasury,  0.02 
focused,  0.043 
actually,  0.026 
started,  0.021 
career,  0.016 
institutions,  0.01 
room,  0.012 
particularly,  0.048 
fewer,  0.027 
court,  0.031 
dependent,  0.009 
household,  0.012 
sole,  0.006 
rest,  0.02 
fact,  0.034 
books,  0.011 
deficits,  0.007 
near,  0.018 
balance,  0.018 
tribute,  0.006 
managers,  0.007 
reoffending,  0.007 
percent,  0.02 
leave,  0.026 
prison,  0.032 
improvement,  0.014 
ncea,  0.012 
level,  0.089 
reach,  0.023 
milestone,  0.007 
increases,  0.026 
pasifika,  0.01 
spend,  0.037 
childhood,  0.025 
households,  0.023 
risk,  0.103 
achieving,  0.018 
group,  0.087 
expect,  0.03 
average,  0.041 
scope,  0.005 
innovation,  0.062 
efficiency,  0.009 
loss,  0.018 
human,  0.013 
potential,  0.061 
willing,  0.007 
lead,  0.041 
save,  0.026 
money,  0.091 
goal,  0.022 
shift,  0.01 
isn,  0.033 
meaningful,  0.009 
preventing,  0.007 
multiple,  0.011 
problems,  0.024 
different,  0.042 
productivity,  0.022 
commission,  0.033 
tuesday,  0.01 
highlighted,  0.009 
particular,  0.029 
departments,  0.007 
circumstances,  0.011 
little,  0.047 
effective,  0.039 
considerable,  0.008 
problem,  0.032 
useful,  0.007 
core,  0.021 
feedback,  0.031 
understanding,  0.025 
effectiveness,  0.006 
account,  0.035 
works,  0.027 
principles,  0.011 
customers,  0.009 
choose,  0.01 
sustained,  0.006 
require,  0.023 
interventions,  0.007 
specific,  0.017 
locally,  0.011 
outside,  0.018 
extremely,  0.014 
carry,  0.009 
solutions,  0.024 
reduced,  0.017 
analysis,  0.014 
aren,  0.017 
allowed,  0.017 
traditional,  0.009 
situation,  0.023 
dollar,  0.014 
tools,  0.02 
ongoing,  0.029 
certainly,  0.013 
starting,  0.02 
scale,  0.026 
look,  0.076 
intervention,  0.014 
driven,  0.013 
point,  0.042 
bringing,  0.016 
commissioned,  0.006 
lifetime,  0.006 
thought,  0.017 
bigger,  0.009 
returned,  0.01 
higher,  0.057 
larger,  0.01 
conditions,  0.028 
ones,  0.016 
parent,  0.009 
stay,  0.035 
wish,  0.014 
adult,  0.006 
showing,  0.02 
promising,  0.007 
chief,  0.025 
executive,  0.018 
charged,  0.006 
steps,  0.019 
rolling,  0.006 
picture,  0.011 
challenge,  0.03 
delivers,  0.01 
talked,  0.008 
advantage,  0.013 
applied,  0.005 
fiscal,  0.02 
measure,  0.013 
broader,  0.008 
wider,  0.041 
ultimately,  0.01 
gave,  0.011 
return,  0.034 
happening,  0.015 
clients,  0.007 
solve,  0.007 
protecting,  0.018 
futures,  0.006 
ground,  0.021 
experience,  0.072 
individuals,  0.018 
trusted,  0.005 
relationship,  0.026 
according,  0.012 
happens,  0.006 
haven,  0.012 
resilience,  0.015 
arrangements,  0.012 
flexible,  0.011 
respond,  0.019 
accountability,  0.008 
whānau,  0.011 
ora,  0.008 
teams,  0.017 
situations,  0.006 
role,  0.074 
consequences,  0.01 
connected,  0.018 
preparation,  0.005 
bit,  0.014 
add,  0.026 
supports,  0.028 
ministers,  0.042 
sort,  0.013 
settings,  0.013 
thinking,  0.014 
taking,  0.062 
cutting,  0.008 
implementing,  0.011 
organisations,  0.042 
officials,  0.038 
listen,  0.013 
trying,  0.018 
realise,  0.007 
capability,  0.015 
backwards,  0.005 
reduction,  0.021 
proportion,  0.01 
turned,  0.014 
knew,  0.007 
exactly,  0.01 
away,  0.038 
mean,  0.027 
preparing,  0.006 
